ProcPress (bar),ExtPress (bar),ProcTempr *C,ChmbrTempr *C,SGTempr *C,ExtTmpr *C,ProcType,V1,V2,V3,V5,Vacuum,Water,ChHeat,ShdHeat,SgsHeat,ChTar *C,ChPWR %,SgTar *C,SgPWR %
1.0116488933563232,1.0062367916107178,74.76903533935547,103.5155029296875,169.35130310058594,36.51818084716797,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.0110962390899658,1.0062236785888672,74.7689437866211,103.74844360351562,169.54116821289062,36.5356674194336,4,False,True,False,True,False,False,False,False,False,136,100,210,100
1.011624455451965,1.0062108039855957,74.7560806274414,104.03018951416016,169.69296264648438,36.51860809326172,4,False,True,False,True,False,False,False,True,True,136,100,210,100
1.012183427810669,1.0062044858932495,74.7606430053711,104.24916076660156,169.82728576660156,36.53751373291016,4,False,True,False,True,False,False,False,True,True,136,100,210,100
1.0116907358169556,1.0061969757080078,74.75626373291016,104.47872161865234,170.00575256347656,36.48064422607422,4,False,True,False,True,False,False,False,True,True,136,100,210,100
1.0118921995162964,1.006203293800354,74.75015258789062,104.6468734741211,170.27410888671875,36.52002716064453,4,False,True,False,True,False,False,False,True,True,136,100,210,100
1.0127967596054075,1.0062122344970703,74.7638931274414,104.77340698242188,170.73355102539062,36.518890380859375,4,False,True,False,True,False,False,False,False,False,136,100,210,100
1.012970209121704,1.0062248706817627,74.77129364013672,104.87738800048828,171.30352783203125,36.55059814453125,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.0128023624420166,1.0062297582626345,74.77044677734375,104.92056274414062,171.94430541992188,36.54931640625,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.0132567882537842,1.0062246322631836,74.77835845947266,104.94766998291016,172.7747802734375,36.541778564453125,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.013104796409607,1.0062270164489746,74.78695678710938,104.99735260009766,173.4887237548828,36.53410339355469,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.012403130531311,1.0062243938446045,74.79498291015625,105.05150604248048,174.19151306152344,36.55030822753906,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.0112500190734863,1.006219744682312,74.80392456054688,105.13814544677734,174.7775421142578,36.53623962402344,4,False,True,False,True,False,False,True,False,False,136,100,210,100
